bruit;RESIDENCE;CHEZ;APPT;BAT;MME;MR;RES;MAISON;QUARTIER;CENTRE;RETRAITE;HOTEL;HOPITAL
RESIDENCE;0;17;94;109;6;4;0;5;6;1;1;3;0
CHEZ;17;0;23;19;506;350;3;1;3;2;0;3;1
APPT;94;23;0;128;13;9;26;0;3;2;0;2;0
BAT;109;19;128;0;8;7;33;1;2;1;1;0;1
MME;6;506;13;8;0;54;2;0;1;2;0;0;1
MR;4;350;9;7;54;0;0;0;1;0;0;1;0
RES;0;3;26;33;2;0;0;0;0;0;0;0;1
MAISON;5;1;0;1;0;0;0;0;2;0;33;0;0
QUARTIER;6;3;3;2;1;1;0;2;0;0;0;0;0
CENTRE;1;2;2;1;2;0;0;0;0;0;0;0;0
RETRAITE;1;0;0;1;0;0;0;33;0;0;0;0;0
HOTEL;3;3;2;0;0;1;0;0;0;0;0;0;0
HOPITAL;0;1;0;1;1;0;1;0;0;0;0;0;0
