;0
0;14
1;14
2;0
3;5
4;35
5;35
6;41
7;17
8;16
9;35
10;35
11;60
12;19
13;16
14;39
15;17
16;35
17;11
18;24
19;0
20;5
21;26
22;13
23;3
24;0
25;0
26;35
27;35
28;18
29;35
30;21
31;19
32;15
33;18
34;16
35;35
36;35
37;0
38;5
39;0
40;13
41;15
42;0
43;0
44;35
45;28
46;35
47;22
48;0
49;5
50;16
51;35
52;40
53;0
54;5
55;0
56;0
57;35
58;35
59;35
60;15
61;35
62;6
63;6
64;16
65;35
66;46
67;40
68;35
69;0
70;47
71;11
72;5
73;15
74;35
75;0
76;0
77;21
78;16
79;38
80;0
81;5
82;18
83;18
84;28
85;17
86;12
87;3
88;2
89;2
90;16
91;0
92;5
93;24
94;35
95;17
96;13
97;9
98;11
99;35
100;34
101;13
102;0
103;14
104;2
105;2
106;6
107;6
108;0
109;0
110;0
111;0
112;14
113;13
114;12
115;4
116;58
117;47
118;47
119;35
120;40
121;35
122;17
123;12
124;16
125;15
126;17
127;49
128;20
129;0
130;0
131;22
132;38
133;35
134;35
135;9
136;35
137;35
138;57
139;7
140;7
141;35
142;22
143;35
144;15
145;35
146;0
147;35
148;59
149;35
150;7
151;7
152;15
153;35
154;35
155;35
156;22
157;35
158;40
159;16
160;19
161;2
162;0
163;0
164;13
165;13
166;6
167;39
168;17
169;0
170;8
171;5
172;12
173;14
174;0
175;0
176;26
177;19
178;13
179;35
180;35
181;35
182;35
183;45
184;35
185;40
186;35
187;35
188;70
189;22
190;17
191;0
192;0
193;35
194;35
195;8
196;0
197;49
198;35
199;35
200;70
201;46
202;35
203;35
204;6
205;6
206;16
207;35
208;0
209;10
210;0
211;0
212;18
213;35
214;40
215;18
216;17
217;16
218;35
219;46
220;40
221;0
222;0
223;18
224;3
225;3
226;0
227;0
228;35
229;48
230;2
231;2
232;35
233;16
234;35
235;40
236;15
237;15
238;35
239;16
240;35
241;49
242;25
243;0
244;10
245;9
246;18
247;14
248;70
249;70
250;35
251;0
252;5
253;19
254;0
255;5
256;11
257;14
258;35
259;40
260;2
261;15
262;15
263;21
264;38
265;0
266;5
267;15
268;19
269;35
270;14
271;0
272;0
273;35
274;35
275;15
276;14
277;9
278;9
279;0
280;17
281;35
282;0
283;13
284;0
285;35
286;5
287;14
288;0
289;5
290;35
291;42
292;18
293;35
294;35
295;35
296;0
297;0
298;18
299;11
300;35
301;0
302;0
303;0
304;5
305;35
306;35
307;9
308;35
309;16
310;45
311;39
312;3
313;12
314;12
315;0
316;70
317;35
318;0
319;2
320;2
321;20
322;13
323;35
324;18
325;17
326;22
327;0
328;43
329;43
330;35
331;0
332;5
333;5
334;35
335;6
336;6
337;14
338;0
339;18
340;25
341;35
342;35
343;8
344;35
345;5
346;5
347;13
348;0
349;11
350;2
351;18
352;35
353;24
354;0
355;11
356;11
357;35
358;17
359;18
360;35
361;48
362;13
363;18
364;22
365;19
366;35
367;35
368;35
369;51
370;36
371;25
372;49
373;2
374;2
375;35
376;35
377;17
378;0
379;20
380;14
381;37
382;37
383;13
384;3
385;3
386;20
387;13
388;3
389;3
390;14
391;0
392;5
393;0
394;0
395;2
396;2
397;3
398;3
399;0
400;15
401;35
402;49
403;35
404;18
405;35
406;16
407;0
408;12
409;35
410;3
411;3
412;15
413;11
414;0
415;0
416;35
417;50
418;13
419;35
420;12
421;16
422;12
423;37
424;37
425;0
426;5
427;15
428;0
429;5
430;0
431;5
432;46
433;70
434;35
435;35
436;70
437;35
438;0
439;0
440;0
441;5
442;52
443;19
444;35
445;35
446;2
447;16
448;43
449;43
450;35
451;15
452;0
453;0
454;5
455;3
456;3
457;3
458;3
459;0
460;3
461;3
462;16
463;30
464;50
465;13
466;10
467;35
468;40
469;35
470;47
471;14
472;35
473;0
474;11
475;5
476;3
477;3
478;19
479;14
480;35
481;35
482;40
483;0
484;17
485;0
486;5
487;52
488;35
489;35
490;49
491;40
492;19
493;2
494;2
495;3
496;15
497;17
498;56
499;56
500;35
501;19
502;14
503;3
504;3
505;17
506;10
507;15
508;0
509;17
510;35
511;35
512;35
513;24
514;19
515;35
516;10
517;14
518;22
519;17
520;60
521;0
522;0
523;35
524;19
525;35
526;14
527;15
528;2
529;2
530;35
531;35
532;0
533;0
534;15
535;11
536;22
537;15
538;35
539;2
540;2
541;35
542;35
543;18
544;3
545;3
546;17
547;35
548;43
549;16
550;18
551;2
552;17
553;0
554;0
555;37
556;2
557;35
558;13
559;22
560;0
561;21
562;17
563;35
564;35
565;35
566;10
567;0
568;22
569;59
570;7
571;19
572;15
573;30
574;22
575;59
576;53
577;19
578;37
579;37
580;16
581;35
582;43
583;2
584;35
585;35
586;61
587;18
588;8
589;35
590;35
591;2
592;2
593;0
594;5
595;6
596;0
597;0
598;2
599;0
600;7
601;20
602;14
603;35
604;35
605;35
606;35
607;53
608;2
609;2
610;35
611;13
612;35
613;35
614;0
615;5
616;35
617;3
618;3
619;3
620;3
621;0
622;2
623;2
624;0
625;0
626;0
627;10
628;15
629;26
630;35
631;22
632;0
633;0
634;12
635;18
636;0
637;18
638;12
639;11
640;3
641;35
642;35
643;0
644;0
645;35
646;40
647;15
648;16
649;35
650;35
651;0
652;0
653;21
654;35
655;0
656;5
657;2
658;2
659;35
660;19
661;40
662;17
663;13
664;0
665;0
666;5
667;3
668;3
669;35
670;13
671;14
672;0
673;20
674;7
675;14
676;1
677;10
678;35
679;40
680;0
681;35
682;19
683;35
684;42
685;14
686;0
687;53
688;21
689;35
690;0
691;0
692;3
693;3
694;35
695;19
696;43
697;35
698;35
699;40
700;12
701;17
702;20
703;14
704;9
705;17
706;16
707;35
708;13
709;35
710;13
711;14
712;51
713;35
714;35
715;35
716;23
717;35
718;40
719;10
720;15
721;0
722;35
723;3
724;3
725;9
726;15
727;35
728;0
729;0
730;35
731;13
732;0
733;0
734;23
735;35
736;16
737;0
738;5
739;12
740;35
741;18
742;14
743;35
744;49
745;35
746;35
747;0
748;35
749;11
750;12
751;70
752;18
753;38
754;38
755;22
756;0
757;0
758;82
759;22
760;35
761;74
762;15
763;35
764;2
765;18
766;20
767;9
768;25
769;2
770;2
771;13
772;20
773;35
774;35
775;43
776;18
777;0
778;4
779;35
780;3
781;3
782;35
783;0
784;17
785;5
786;14
787;22
788;35
789;3
790;0
791;5
792;23
793;13
794;35
795;64
796;56
797;0
798;15
799;14
800;17
801;14
802;34
803;24
804;0
805;24
806;5
807;16
808;26
809;13
810;13
811;19
812;13
813;0
814;0
815;13
816;0
817;3
818;3
819;38
820;38
821;48
822;0
823;0
824;70
825;35
826;3
827;3
828;0
829;19
830;35
831;35
832;35
833;35
834;38
835;38
836;0
837;20
838;5
839;17
840;3
841;3
842;23
843;13
844;22
845;11
846;2
847;2
848;0
849;0
850;0
851;3
852;3
853;0
854;17
855;18
856;35
857;35
858;16
859;35
860;35
861;35
862;0
863;0
864;20
865;35
866;35
867;40
868;35
869;35
870;3
871;3
872;18
873;11
874;37
875;37
876;11
877;13
878;35
879;35
880;0
881;5
882;0
883;35
884;19
885;22
886;2
887;13
888;10
889;15
890;14
891;0
892;0
893;5
894;0
895;0
896;35
897;35
898;13
899;24
900;52
901;0
902;5
903;0
904;0
905;3
906;10
907;18
908;35
909;35
910;47
911;35
912;40
913;18
914;3
915;18
916;24
917;0
918;0
919;0
920;0
921;35
922;35
923;35
924;30
925;14
926;35
927;0
928;5
929;35
930;35
931;60
932;3
933;18
934;35
935;18
936;0
937;0
938;35
939;16
940;35
941;20
942;7
943;1
944;17
945;17
946;0
947;4
948;4
949;13
950;0
951;5
952;22
953;17
954;23
955;13
956;3
957;3
958;35
959;2
960;13
961;35
962;12
963;20
964;11
965;2
966;2
967;35
968;35
969;13
970;3
971;3
972;44
973;0
974;0
975;18
976;35
977;35
978;70
979;49
980;35
981;22
982;14
983;35
984;22
985;35
986;17
987;0
988;12
989;19
990;17
991;22
992;35
993;3
994;3
995;2
996;2
997;26
998;35
999;35
1000;10
1001;10
1002;3
1003;0
1004;5
1005;17
1006;13
1007;17
1008;0
1009;0
1010;35
1011;35
1012;11
1013;11
1014;13
1015;20
1016;35
1017;15
1018;15
1019;18
1020;35
1021;35
1022;0
1023;3
1024;3
1025;0
1026;0
1027;35
1028;0
1029;11
1030;5
1031;35
1032;35
1033;35
1034;35
1035;0
1036;5
1037;35
1038;3
1039;3
1040;25
1041;0
1042;35
1043;35
1044;53
1045;18
1046;14
1047;51
1048;35
1049;11
1050;35
1051;11
1052;20
1053;0
1054;20
1055;27
1056;0
1057;5
1058;0
1059;0
1060;35
1061;46
1062;23
1063;14
1064;0
1065;9
1066;17
1067;26
1068;0
1069;53
1070;5
1071;18
1072;15
1073;3
1074;3
1075;48
1076;0
1077;0
1078;26
1079;21
1080;0
1081;35
1082;22
1083;3
1084;3
1085;13
1086;25
1087;4
1088;4
1089;0
1090;0
1091;35
1092;11
1093;22
1094;23
1095;35
1096;35
1097;50
1098;55
1099;15
1100;11
1101;35
1102;16
1103;19
1104;74
1105;0
1106;5
1107;3
1108;3
1109;0
1110;0
1111;24
1112;0
1113;5
1114;4
1115;3
1116;35
1117;17
1118;20
1119;35
1120;3
1121;3
1122;35
1123;9
1124;46
1125;13
1126;12
1127;0
1128;16
1129;3
1130;3
1131;35
1132;15
1133;20
1134;0
1135;35
1136;19
1137;20
1138;16
1139;35
1140;52
1141;18
1142;0
1143;0
1144;70
1145;3
1146;3
1147;19
1148;3
1149;0
1150;5
1151;2
1152;2
1153;0
1154;5
1155;18
1156;35
1157;28
1158;11
1159;3
1160;3
1161;0
1162;5
1163;3
1164;3
1165;35
1166;17
1167;0
1168;5
1169;45
1170;14
1171;20
1172;0
1173;5
1174;3
1175;3
1176;20
1177;0
1178;5
1179;14
1180;2
1181;2
1182;35
1183;35
1184;55
1185;61
1186;0
1187;0
1188;35
1189;16
1190;35
1191;16
1192;35
1193;35
1194;70
1195;22
1196;2
1197;2
1198;22
1199;0
1200;5
1201;35
1202;35
1203;0
1204;0
1205;19
1206;15
1207;0
1208;5
1209;3
1210;3
1211;14
1212;0
1213;0
1214;35
1215;13
1216;15
1217;35
1218;12
1219;22
1220;42
1221;20
1222;11
1223;35
1224;0
1225;0
1226;0
1227;5
1228;3
1229;3
1230;35
1231;17
1232;50
1233;15
1234;19
1235;35
1236;70
1237;0
1238;0
1239;0
1240;35
1241;3
1242;21
1243;22
1244;15
1245;35
1246;35
1247;35
1248;35
1249;0
1250;5
1251;35
1252;13
1253;22
1254;0
1255;16
1256;35
1257;0
1258;2
1259;2
1260;0
1261;5
1262;60
1263;17
1264;14
1265;35
1266;0
1267;0
1268;35
1269;17
1270;0
1271;13
1272;17
1273;35
1274;35
1275;21
1276;14
1277;35
1278;25
1279;35
1280;22
1281;14
1282;19
1283;19
1284;2
1285;2
1286;35
1287;2
1288;2
1289;3
1290;3
1291;2
1292;2
1293;3
1294;3
1295;0
1296;5
1297;9
1298;0
1299;0
1300;35
1301;35
1302;17
1303;35
1304;2
1305;12
1306;35
1307;15
1308;10
1309;0
1310;0
1311;15
1312;2
1313;2
1314;0
1315;21
1316;15
1317;2
1318;32
1319;18
1320;35
1321;35
1322;18
1323;18
1324;22
1325;0
1326;5
1327;17
1328;35
1329;35
1330;56
1331;4
1332;14
1333;3
1334;35
1335;18
1336;35
1337;3
1338;3
1339;51
1340;2
1341;2
1342;20
1343;17
1344;9
1345;14
1346;0
1347;0
1348;17
1349;3
1350;3
1351;35
1352;35
1353;22
1354;8
1355;14
1356;35
1357;0
1358;5
1359;0
1360;17
1361;3
1362;3
1363;28
1364;15
1365;35
1366;35
1367;61
1368;6
1369;13
1370;52
1371;35
1372;2
1373;2
1374;15
1375;14
1376;36
1377;16
1378;17
1379;37
1380;0
1381;37
1382;5
1383;21
1384;8
1385;35
1386;35
1387;35
1388;35
1389;46
1390;40
1391;18
1392;0
1393;0
1394;0
1395;0
1396;5
1397;0
1398;5
1399;22
1400;35
1401;12
1402;14
1403;39
1404;35
1405;16
1406;13
1407;0
1408;5
1409;20
1410;9
1411;35
1412;40
1413;52
1414;58
1415;35
1416;35
1417;0
1418;35
1419;3
1420;3
1421;14
1422;21
1423;11
1424;0
1425;20
1426;3
1427;3
1428;35
1429;11
1430;12
1431;0
1432;5
1433;0
1434;23
1435;11
1436;8
1437;0
1438;0
1439;12
1440;35
1441;41
1442;18
1443;35
1444;35
1445;0
1446;0
1447;35
1448;21
1449;35
1450;40
1451;41
1452;0
1453;5
1454;19
1455;0
1456;5
1457;52
1458;35
1459;2
1460;13
1461;0
1462;0
1463;21
1464;48
1465;16
1466;15
1467;0
1468;12
1469;14
1470;11
1471;73
1472;16
1473;21
1474;35
1475;46
1476;22
1477;2
1478;2
1479;23
1480;0
1481;37
1482;37
1483;20
1484;19
1485;18
1486;0
1487;12
1488;35
1489;0
1490;11
1491;5
1492;35
1493;14
1494;84
1495;35
1496;15
1497;0
1498;0
1499;35
1500;35
1501;15
1502;35
1503;40
1504;0
1505;35
1506;35
1507;42
1508;0
1509;0
1510;3
1511;17
1512;0
1513;2
1514;14
1515;12
1516;12
1517;35
1518;0
1519;0
1520;35
1521;12
1522;13
1523;13
1524;35
1525;35
1526;0
1527;17
1528;12
1529;17
1530;35
1531;53
1532;23
1533;2
1534;35
1535;0
1536;5
1537;13
1538;38
1539;38
1540;11
1541;0
1542;51
1543;35
1544;13
1545;35
1546;35
1547;13
1548;18
1549;43
1550;35
1551;35
1552;0
1553;0
1554;35
1555;40
1556;35
1557;40
1558;29
1559;35
1560;40
1561;18
1562;35
1563;10
1564;22
1565;0
1566;0
1567;5
1568;51
1569;60
1570;35
1571;15
1572;35
1573;0
1574;7
1575;14
1576;47
1577;35
1578;37
1579;37
1580;3
1581;3
1582;0
1583;5
1584;0
1585;0
1586;2
1587;2
1588;2
1589;2
1590;18
1591;6
1592;0
1593;17
1594;15
1595;0
1596;0
1597;3
1598;35
1599;12
1600;35
1601;35
1602;0
1603;11
1604;35
1605;0
1606;47
1607;5
1608;0
1609;5
1610;35
1611;16
1612;0
1613;5
1614;35
1615;49
1616;0
1617;5
1618;58
1619;35
1620;44
1621;0
1622;10
1623;35
1624;35
1625;41
1626;14
1627;14
1628;19
1629;38
1630;13
1631;0
1632;0
1633;2
1634;2
1635;4
1636;4
1637;35
1638;35
1639;23
1640;3
1641;3
1642;0
1643;5
1644;35
1645;0
1646;5
1647;9
1648;18
1649;8
1650;15
1651;2
1652;11
1653;3
1654;3
1655;13
1656;0
1657;70
1658;16
1659;24
1660;14
1661;2
1662;18
1663;0
1664;19
1665;35
1666;14
1667;35
1668;35
1669;35
1670;4
1671;4
1672;28
1673;0
1674;19
1675;35
1676;41
1677;13
1678;9
1679;35
1680;52
1681;40
1682;0
1683;5
1684;0
1685;0
1686;4
1687;18
1688;12
1689;24
1690;35
1691;19
1692;14
1693;14
1694;35
1695;35
1696;20
1697;19
1698;19
1699;35
1700;3
1701;35
1702;21
1703;20
1704;18
1705;6
1706;35
1707;35
1708;70
1709;51
1710;14
1711;35
1712;9
1713;49
1714;35
1715;35
1716;14
1717;35
1718;35
1719;19
1720;16
1721;2
1722;2
1723;0
1724;5
1725;35
1726;7
1727;35
1728;0
1729;35
1730;16
1731;44
1732;37
1733;35
1734;19
1735;25
1736;0
1737;0
1738;5
1739;0
1740;5
1741;2
1742;16
1743;0
1744;0
1745;16
1746;3
1747;25
1748;0
1749;35
1750;35
1751;35
1752;35
1753;20
1754;13
1755;35
1756;15
1757;23
1758;15
1759;19
1760;12
1761;12
1762;0
1763;13
1764;35
1765;0
1766;10
1767;70
1768;17
1769;18
1770;13
1771;35
1772;2
1773;48
1774;13
1775;35
1776;49
1777;22
1778;0
1779;0
1780;35
1781;35
1782;18
1783;42
1784;56
1785;35
1786;35
1787;12
1788;2
1789;2
1790;16
1791;3
1792;3
1793;15
1794;11
1795;35
1796;35
1797;55
1798;35
1799;22
1800;53
1801;0
1802;15
1803;35
1804;17
1805;35
1806;36
1807;36
1808;49
1809;0
1810;5
1811;0
1812;5
1813;14
1814;35
1815;35
1816;35
1817;18
1818;35
1819;15
1820;35
1821;13
1822;22
1823;21
1824;23
1825;35
1826;46
1827;40
1828;2
1829;15
1830;35
1831;15
1832;35
1833;6
1834;35
1835;0
1836;5
1837;19
1838;0
1839;0
1840;0
1841;35
1842;35
1843;35
1844;35
1845;0
1846;0
1847;0
1848;0
1849;35
1850;40
1851;35
1852;53
1853;0
1854;0
1855;22
1856;0
1857;20
1858;35
1859;35
1860;2
1861;2
1862;0
1863;0
1864;0
1865;5
1866;2
1867;3
1868;3
1869;35
1870;0
1871;35
1872;17
1873;0
1874;0
1875;35
1876;0
1877;0
1878;35
1879;35
1880;54
1881;0
1882;0
1883;2
1884;0
1885;0
1886;35
1887;35
1888;0
1889;19
1890;17
1891;35
1892;0
1893;20
1894;0
1895;5
1896;3
1897;3
1898;15
1899;14
1900;35
1901;0
1902;14
1903;0
1904;15
1905;53
1906;35
1907;16
1908;35
1909;0
1910;15
1911;36
1912;35
1913;18
1914;35
1915;13
1916;2
1917;2
1918;14
1919;35
1920;40
1921;0
1922;7
1923;19
1924;12
1925;35
1926;35
1927;0
1928;5
1929;13
1930;35
1931;35
1932;15
1933;0
1934;27
1935;35
1936;35
1937;19
1938;13
1939;35
1940;0
1941;14
1942;19
1943;35
1944;17
1945;44
1946;4
1947;4
1948;9
1949;11
1950;2
1951;2
1952;0
1953;17
1954;12
1955;35
1956;14
1957;0
1958;35
1959;35
1960;35
1961;2
1962;2
1963;3
1964;0
1965;18
1966;14
1967;2
1968;2
1969;0
1970;2
1971;2
1972;35
1973;0
1974;22
1975;22
1976;7
1977;0
1978;0
1979;23
1980;35
1981;35
1982;18
1983;9
1984;13
1985;14
1986;0
1987;94
1988;3
1989;18
1990;35
1991;15
1992;20
1993;16
1994;0
1995;5
1996;2
1997;2
1998;11
1999;12
2000;26
2001;17
2002;35
2003;35
2004;17
2005;15
2006;2
2007;2
2008;35
2009;13
2010;35
2011;35
2012;0
2013;15
2014;2
2015;2
2016;12
2017;38
2018;38
2019;0
2020;0
2021;44
2022;35
2023;0
2024;0
2025;5
2026;19
2027;15
2028;2
2029;2
2030;35
2031;3
2032;3
2033;18
2034;35
2035;13
2036;35
2037;2
2038;14
2039;35
2040;39
2041;39
2042;35
2043;35
2044;6
2045;0
2046;5
2047;15
2048;10
2049;17
2050;2
2051;2
2052;35
2053;35
2054;59
2055;14
2056;0
2057;55
2058;35
2059;21
2060;17
2061;35
2062;52
2063;52
2064;22
2065;0
2066;0
2067;5
2068;35
2069;19
2070;35
2071;4
2072;25
2073;0
2074;5
2075;35
2076;35
2077;52
2078;35
2079;10
2080;35
2081;35
2082;35
2083;35
2084;35
2085;54
2086;18
2087;35
2088;35
2089;35
2090;8
2091;22
2092;35
2093;46
2094;40
2095;25
2096;10
2097;20
2098;0
2099;0
2100;42
2101;35
2102;12
2103;18
2104;35
2105;10
2106;35
2107;18
2108;35
2109;35
2110;35
2111;35
2112;35
2113;54
2114;20
2115;0
2116;5
2117;19
2118;19
2119;0
2120;0
2121;22
2122;16
2123;17
2124;15
2125;35
2126;3
2127;3
2128;3
2129;35
2130;35
2131;35
2132;35
2133;59
2134;0
2135;13
2136;0
2137;5
2138;0
2139;0
2140;53
2141;2
2142;2
2143;16
2144;0
2145;0
2146;35
2147;45
2148;3
2149;3
2150;35
2151;40
2152;11
2153;35
2154;40
2155;0
2156;18
2157;14
2158;15
2159;26
2160;2
2161;2
2162;0
2163;16
2164;18
2165;35
2166;3
2167;3
2168;3
2169;35
2170;61
2171;35
2172;41
2173;37
2174;0
2175;37
2176;35
2177;26
2178;35
2179;0
2180;17
2181;3
2182;35
2183;0
2184;0
2185;0
2186;10
2187;54
2188;0
2189;5
2190;0
2191;5
2192;0
2193;0
2194;13
2195;0
2196;5
2197;26
2198;17
2199;2
2200;2
2201;35
2202;0
2203;0
2204;0
2205;3
2206;3
2207;14
2208;0
2209;0
2210;35
2211;35
2212;3
2213;3
2214;62
2215;35
2216;13
2217;19
2218;18
2219;12
2220;35
2221;35
2222;0
2223;0
2224;0
2225;0
2226;0
2227;18
2228;35
2229;35
2230;0
2231;5
2232;0
2233;0
2234;54
2235;5
2236;17
2237;35
2238;35
2239;15
2240;18
2241;15
2242;2
2243;2
2244;0
2245;52
2246;35
2247;40
2248;39
2249;0
2250;0
2251;17
2252;10
2253;0
2254;7
2255;0
2256;5
2257;2
2258;2
2259;2
2260;2
2261;14
2262;14
2263;35
2264;17
2265;35
2266;0
2267;10
2268;5
2269;0
2270;5
2271;35
2272;0
2273;5
2274;24
2275;15
2276;35
2277;35
2278;0
2279;5
2280;70
2281;35
2282;35
2283;35
2284;3
2285;3
2286;48
2287;21
2288;35
2289;40
2290;13
2291;22
2292;25
2293;35
2294;22
2295;6
2296;0
2297;5
2298;35
2299;35
2300;2
2301;7
2302;0
2303;11
2304;5
2305;26
2306;41
2307;13
2308;2
2309;2
2310;35
2311;35
2312;35
2313;63
2314;2
2315;2
2316;24
2317;35
2318;15
2319;15
2320;16
2321;35
2322;26
2323;39
2324;13
2325;0
2326;35
2327;35
2328;4
2329;20
2330;0
2331;5
2332;17
2333;35
2334;70
2335;0
2336;5
2337;16
2338;12
2339;0
2340;0
2341;20
2342;43
2343;18
2344;14
2345;35
2346;35
2347;12
2348;15
2349;35
2350;13
2351;15
2352;3
2353;3
2354;0
2355;5
2356;13
2357;0
