;0
0;0
1;1
2;0
3;0
4;1
5;0
6;1
7;1
8;0
9;0
10;1
11;2
12;0
13;0
14;1
15;1
16;0
17;0
18;1
19;2
20;1
21;0
22;0
23;0
24;0
25;1
26;36
27;35
28;0
29;0
30;1
31;0
32;1
33;0
34;0
35;0
36;0
37;1
38;2
39;52
40;0
41;53
42;0
43;1
44;0
45;1
46;0
47;0
48;0
49;1
50;0
51;1
52;0
53;0
54;1
55;0
56;0
57;1
58;0
59;48
60;46
61;1
62;47
63;0
64;0
65;1
66;0
67;0
68;0
69;1
70;2
71;1
72;0
73;0
74;0
75;1
76;0
77;1
78;0
79;1
80;2
81;0
82;0
83;1
84;0
85;0
86;0
87;1
88;2
89;0
90;35
91;36
92;0
93;1
94;1
95;0
96;0
97;1
98;0
99;0
100;0
101;1
102;1
103;0
104;2
105;0
106;1
107;0
108;1
109;0
110;1
111;1
112;2
113;0
114;1
115;0
116;0
117;2
118;1
119;0
120;1
121;1
122;0
123;0
124;1
125;35
126;36
127;0
128;0
129;1
130;0
131;0
132;1
133;0
134;1
135;0
136;0
137;0
138;1
139;0
140;1
141;2
142;0
143;1
144;0
145;1
146;1
147;0
148;0
149;1
150;0
151;1
152;0
153;1
154;0
155;1
156;0
157;36
158;46
159;2
160;1
161;45
162;0
163;0
164;1
165;2
166;1
167;0
168;1
169;0
170;36
171;0
172;1
173;0
174;0
175;0
176;1
177;47
178;48
179;0
180;1
181;0
182;0
183;0
184;49
185;0
186;1
187;0
188;0
189;0
190;2
191;1
192;0
193;1
194;11
195;12
196;35
197;36
198;75
199;0
200;0
201;0
202;1
203;0
204;1
205;0
206;44
207;1
208;0
209;2
210;0
211;1
212;0
213;0
214;1
215;0
216;36
217;35
218;0
219;1
220;0
221;1
222;0
223;1
224;0
225;2
226;0
227;37
228;34
229;35
230;36
231;38
232;0
233;1
234;0
235;0
236;1
237;0
238;0
239;0
240;1
241;1
242;0
243;0
244;1
245;1
246;0
247;0
248;0
249;1
250;0
251;0
252;1
253;0
254;1
255;1
256;0
257;0
258;1
259;0
260;2
261;0
262;0
263;0
264;59
265;1
266;0
267;0
268;35
269;0
270;1
271;0
272;1
273;1
274;0
275;35
276;36
277;0
278;1
279;41
280;0
281;39
282;0
283;1
284;0
285;1
286;0
287;0
288;1
289;0
290;0
291;0
292;0
293;1
294;0
295;1
296;0
297;0
298;1
299;0
300;1
301;0
302;1
303;0
304;1
305;0
306;1
307;0
308;1
309;0
310;0
311;1
312;0
313;1
314;0
315;1
316;1
317;0
318;2
319;0
320;0
321;0
322;1
323;0
324;40
325;43
326;42
327;0
328;1
329;0
330;0
331;0
332;1
333;0
334;2
335;1
336;0
337;1
338;0
339;0
340;1
341;0
342;1
343;16
344;18
345;17
346;0
347;0
348;1
349;0
350;2
351;1
352;0
353;1
354;0
355;1
356;0
357;0
358;0
359;0
360;1
361;1
362;0
363;0
364;2
365;0
366;1
367;10
368;0
369;1
370;11
371;0
372;1
373;0
374;0
375;1
376;0
377;0
378;0
379;0
380;1
381;1
382;0
383;0
384;1
385;2
386;0
387;1
388;0
389;1
390;0
391;0
392;1
393;0
394;1
395;0
396;0
397;1
398;0
399;0
400;1
401;0
402;0
403;0
404;1
405;0
406;0
407;0
408;1
409;0
410;0
411;0
412;1
413;0
414;0
415;1
416;0
417;0
418;1
419;0
420;0
421;0
422;1
423;0
424;1
425;0
426;0
427;0
428;0
429;0
430;1
431;0
432;1
433;0
434;1
435;0
436;1
437;0
438;1
439;0
440;0
441;1
442;1
443;0
444;0
445;0
446;40
447;43
448;42
449;0
450;41
451;0
452;1
453;47
454;49
455;48
456;0
457;1
458;1
459;0
460;0
461;1
462;0
463;1
464;0
465;2
466;0
467;0
468;1
469;0
470;0
471;1
472;0
473;1
474;0
475;0
476;0
477;1
478;1
479;4
480;0
481;40
482;41
483;42
484;0
485;0
486;35
487;0
488;1
489;1
490;0
491;1
492;0
493;0
494;0
495;1
496;0
497;1
498;2
499;0
500;1
501;0
502;1
503;0
504;0
505;0
506;1
507;0
508;1
509;0
510;19
511;10
512;17
513;0
514;0
515;1
516;0
517;1
518;0
519;0
520;0
521;1
522;2
523;0
524;0
525;1
526;0
527;1
528;1
529;0
530;0
531;1
532;0
533;1
534;0
535;0
536;0
537;0
538;0
539;1
540;0
541;2
542;0
543;0
544;0
545;0
546;1
547;0
548;1
549;0
550;0
551;1
552;0
553;0
554;58
555;59
556;0
557;1
558;0
559;0
560;1
561;0
562;1
563;0
564;1
565;0
566;1
567;0
568;1
569;1
570;0
571;0
572;2
573;6
574;0
575;2
576;1
577;0
578;1
579;10
580;0
581;1
582;0
583;0
584;0
585;0
586;0
587;0
588;1
589;0
590;1
591;0
592;1
593;0
594;1
595;2
596;0
597;1
598;0
599;0
600;1
601;40
602;0
603;1
604;0
605;1
606;1
607;0
608;0
609;1
610;0
611;1
612;1
613;0
614;35
615;0
616;0
617;0
618;0
619;0
620;1
621;0
622;1
623;0
624;1
625;0
626;1
627;0
628;1
629;0
630;2
631;0
632;1
633;0
634;1
635;0
636;1
637;0
638;0
639;0
640;0
641;1
642;35
643;0
644;1
645;0
646;1
647;0
648;1
649;0
650;0
651;1
652;1
653;0
654;0
655;0
656;0
657;0
658;0
659;0
660;35
661;0
662;1
663;0
664;1
665;0
666;0
667;1
668;0
669;1
670;1
671;0
672;0
673;1
674;0
675;40
676;1
677;0
678;0
679;1
680;0
681;0
682;35
683;1
684;0
685;1
686;0
687;1
688;0
689;0
690;1
691;2
692;0
693;1
694;1
695;0
696;0
697;1
698;0
699;0
700;1
701;2
702;0
703;0
704;1
705;0
706;0
707;2
708;1
709;0
710;1
711;0
712;0
713;1
714;0
715;1
716;0
717;0
718;0
719;1
720;0
721;0
722;1
723;40
724;2
725;0
726;0
727;1
728;0
729;1
730;2
731;0
732;1
733;0
734;0
735;0
736;0
737;1
738;0
739;0
740;1
741;0
742;1
743;0
744;0
745;0
746;1
747;0
748;5
749;0
750;0
751;0
752;0
753;1
754;0
755;0
756;45
757;0
758;1
759;35
760;36
761;0
762;1
763;0
764;1
765;1
766;0
767;0
768;1
769;0
770;39
771;0
772;1
773;0
774;2
775;2
776;0
777;1
778;0
779;0
780;1
781;0
782;1
783;0
784;1
785;0
786;1
787;0
788;0
789;1
790;0
791;1
792;0
793;1
794;0
795;0
796;1
797;0
798;1
799;0
800;1
801;0
802;1
803;0
804;0
805;1
806;1
807;0
808;0
809;0
810;0
811;0
812;0
813;0
814;0
815;0
816;26
817;1
818;1
819;0
820;0
821;1
822;0
823;11
824;9
825;10
826;0
827;1
828;0
829;0
830;0
831;1
832;53
833;56
834;54
835;0
836;1
837;0
838;1
839;1
840;0
841;0
842;1
843;0
844;1
845;0
846;1
847;0
848;35
849;15
850;14
851;0
852;0
853;1
854;1
855;0
856;0
857;1
858;0
859;0
860;1
861;0
862;0
863;1
864;0
865;1
866;0
867;0
868;0
869;35
870;5
871;6
872;0
873;1
874;0
875;1
876;0
877;1
878;0
879;1
880;0
881;1
882;0
883;1
884;2
885;1
886;0
887;0
888;1
889;0
890;1
891;0
892;0
893;1
894;0
895;0
896;44
897;0
898;1
899;0
900;0
901;1
902;0
903;21
904;22
905;13
906;1
907;1
908;0
909;0
910;1
911;0
912;2
913;0
914;0
915;0
916;0
917;1
918;2
919;0
920;1
921;1
922;0
923;2
924;0
925;1
926;0
927;0
928;1
929;0
930;1
931;0
932;1
933;0
934;1
935;0
936;1
937;1
938;0
939;0
940;48
941;0
942;0
943;1
944;2
945;0
946;0
947;1
948;0
949;0
950;1
951;0
952;1
953;0
954;0
955;1
956;1
957;0
958;0
959;1
960;4
961;0
962;1
963;0
964;2
965;1
966;0
967;13
968;35
969;36
970;12
971;0
972;0
973;35
974;0
975;0
976;0
977;0
978;0
979;1
980;0
981;1
982;1
983;40
984;0
985;1
986;0
987;0
988;0
989;1
990;0
991;1
992;0
993;0
994;1
995;0
996;0
997;1
998;0
999;0
1000;1
1001;0
1002;0
1003;0
1004;1
1005;0
1006;1
1007;0
1008;0
1009;0
1010;2
1011;5
1012;20
1013;21
1014;7
1015;6
1016;0
1017;1
1018;1
1019;0
1020;0
1021;0
1022;1
1023;0
1024;1
1025;0
1026;1
1027;0
1028;1
1029;41
1030;1
1031;0
1032;1
1033;2
1034;0
1035;1
1036;0
1037;1
1038;0
1039;1
1040;0
1041;1
1042;1
1043;0
1044;2
1045;0
1046;0
1047;1
1048;0
1049;0
1050;1
1051;1
1052;0
1053;0
1054;1
1055;0
1056;1
1057;43
1058;0
1059;1
1060;1
