;pseudo_provisoire;adresse_cleaned;codepost;nom_commune_postal;longitude_ref;latitude_ref;requete;x;y;score;trust_score;street;city;pc_city;code_dept;address
27;0420817K; CHEMIN DES TOURETTES;42100;SAINT-ETIENNE;4.264489434346834;45.444173019747936; CHEMIN DES TOURETTES 42100 SAINT-ETIENNE;4.402664;45.405116;0.5567954545454545;middle;CHEMIN DE LAYA;SAINT-ÉTIENNE;42100;42;CHEMIN DE LAYA 42100 SAINT-ÉTIENNE
144;0861184V;6 AVENUE DE PROVENCE;86500;MONTMORILLON;0.8524506762106738;46.418053697826615;6 AVENUE DE PROVENCE 86500 MONTMORILLON;0.852451;46.418054;0.9535645454545454;high;6 AVENUE DE PROVENCE;MONTMORILLON;86500;86;6 AVENUE DE PROVENCE 86500 MONTMORILLON
238;0572829R; RUE DES GRANDS BOIS;57700;HAYANGE;6.065559352994417;49.3169344657539; RUE DES GRANDS BOIS 57700 HAYANGE;6.067428;49.316888;0.9621481818181817;high;RUE DES GRANDS BOIS;HAYANGE;57700;57;RUE DES GRANDS BOIS 57700 HAYANGE
262;0580618G; PLACE ELSA TRIOLET;58160;IMPHY;3.2656897321516887;46.93041143688357; PLACE ELSA TRIOLET 58160 IMPHY;2.549019;48.943942;0.5352647335423196;middle;PLACE ELSA TRIOLET;SEVRAN;93270;93;PLACE ELSA TRIOLET 93270 SEVRAN
281;0442902R;3 RUE VASCO DE GAMA;44800;SAINT-HERBLAIN;-1.6242870576592536;47.22104759345568;3 RUE VASCO DE GAMA 44800 SAINT-HERBLAIN;-1.659157;47.208406;0.6040571074380164;middle;RUE DE LA GARE;SAINT-HERBLAIN;44800;44;RUE DE LA GARE 44800 SAINT-HERBLAIN
287;0011038Y; RUE DE L OUDAR;1170;GEX;6.067299973800585;46.33862560502472; RUE DE L OUDAR 1170 GEX;6.068436;46.338518;0.6999036363636364;middle;RUE DE OUDAR;GEX;01170;01;RUE DE OUDAR 01170 GEX
309;0110426D; RUE D AOSTE;11100;NARBONNE;3.017290087622277;43.193468062241365; RUE D AOSTE 11100 NARBONNE;3.018501;43.194774;0.9696963636363637;high;RUE D AOSTE;NARBONNE;11100;11;RUE D AOSTE 11100 NARBONNE
372;0370688X;63 RUE DU COLOMBIER;37074;TOURS;0.7028001280708099;47.41789701104892;63 RUE DU COLOMBIER 37074 TOURS;-1.16296;46.166087;0.39120475935828875;low;RUE COLOMBIER;LA ROCHELLE;17000;17;RUE COLOMBIER 17000 LA ROCHELLE
383;0791014Y;23 PLACE SAINT JEAN;79300;BRESSUIRE;-0.4941085182419597;46.84185678975175;23 PLACE SAINT JEAN 79300 BRESSUIRE;-0.494109;46.841857;0.9624663636363636;high;23 PLACE SAINT JEAN;BRESSUIRE;79300;79;23 PLACE SAINT JEAN 79300 BRESSUIRE
406;0342413N;1 PLACE SIMONE VEIL;34430;SAINT-JEAN-DE-VÉDAS;3.822195568629585;43.5807429100802;1 PLACE SIMONE VEIL 34430 SAINT-JEAN-DE-VÉDAS;3.833619;43.592204;0.5488405194805194;middle;1 RUE SIMONE SIGNORET;SAINT-JEAN-DE-VÉDAS;34430;34;1 RUE SIMONE SIGNORET 34430 SAINT-JEAN-DE-VÉDAS
