;0
0;3
1;3
2;3
3;3
4;3
5;3
6;3
7;4
8;2
9;3
10;5
11;3
12;3
13;4
14;2
15;2
16;2
17;3
18;38
19;20
20;18
21;2
22;3
23;3
24;3
25;3
26;3
27;2
28;2
29;2
30;2
31;2
32;5
33;2
34;2
35;7
36;3
37;2
38;2
39;3
40;2
41;3
42;2
43;3
44;3
45;3
46;3
47;2
48;3
49;3
50;16
51;2
52;2
53;2
54;12
55;3
56;4
57;4
58;2
59;3
60;3
61;3
62;3
63;3
64;4
65;2
66;3
67;2
68;4
69;3
70;12
71;19
72;38
73;3
74;11
75;3
76;3
77;3
78;2
79;11
80;3
81;3
82;3
83;3
84;3
85;3
86;4
87;4
88;3
89;3
90;3
91;4
92;3
93;4
94;44
95;4
96;4
97;3
98;3
99;39
100;3
101;2
102;3
103;3
104;0
105;2
106;2
107;12
108;3
109;3
110;4
111;3
112;3
113;3
114;4
115;3
116;3
117;3
118;4
119;4
120;2
121;2
122;4
123;3
124;47
125;38
126;3
127;3
128;3
129;3
130;2
131;6
132;3
133;16
134;16
135;2
136;39
137;3
138;3
139;2
140;3
141;2
142;7
143;4
144;4
145;3
146;3
147;19
148;38
149;38
150;2
151;2
152;3
153;3
154;3
155;2
156;4
157;2
158;3
159;2
160;2
161;38
162;3
163;3
164;3
165;4
166;2
167;2
168;7
169;2
170;2
171;3
172;2
173;14
174;4
175;4
176;4
177;3
178;14
179;3
180;3
181;3
182;3
183;7
184;17
185;2
186;3
187;3
188;3
189;3
190;3
191;8
192;2
193;2
194;2
195;3
196;50
197;3
198;3
199;3
200;37
201;3
202;3
203;3
204;38
205;21
206;3
207;2
208;2
209;2
210;4
211;3
212;2
213;3
214;3
215;2
216;4
217;3
218;2
219;2
220;2
221;3
222;3
223;3
224;3
225;3
226;3
227;2
228;3
229;7
230;20
231;4
232;4
233;2
234;2
235;2
236;3
237;3
238;2
239;2
240;2
241;9
242;3
243;6
244;3
245;4
246;2
247;2
248;3
249;3
250;3
251;3
252;0
253;2
254;3
255;4
256;3
257;3
258;3
259;2
260;2
261;6
262;3
263;3
264;3
265;3
266;4
267;3
268;19
269;3
270;3
271;2
272;3
273;3
274;2
275;2
276;3
277;3
278;4
279;3
280;3
281;2
282;2
283;3
284;3
285;2
286;2
287;2
288;10
289;2
290;3
291;3
292;2
293;2
294;3
295;2
296;2
297;3
298;2
299;2
300;2
301;2
302;3
303;3
304;18
305;2
306;3
307;3
308;2
309;3
310;3
311;3
312;2
313;2
314;2
315;2
316;2
317;2
318;3
319;3
320;3
321;3
322;3
323;3
324;3
325;3
326;2
327;2
328;2
329;3
330;3
331;3
332;2
333;3
334;2
335;3
336;39
337;3
338;3
339;3
340;3
341;4
342;17
343;17
344;2
345;3
346;2
347;4
348;3
349;2
350;2
351;5
352;6
353;2
354;2
355;2
356;37
357;51
358;3
359;7
360;7
361;7
362;2
363;2
364;2
365;3
366;4
367;4
368;3
369;3
370;3
371;2
372;2
373;3
374;3
375;6
376;3
377;3
378;3
379;2
380;2
381;2
382;2
383;3
384;3
385;3
386;3
387;4
388;3
389;3
390;3
391;3
392;3
393;2
394;2
395;2
396;2
397;2
398;2
399;2
400;3
401;4
402;2
403;2
404;2
405;3
406;3
407;3
408;3
409;3
410;2
411;50
412;3
413;3
414;3
415;3
416;3
417;3
418;3
419;3
420;3
421;3
422;12
423;3
424;3
425;8
426;8
427;4
428;3
429;2
430;3
431;2
432;2
433;16
434;2
435;2
436;2
437;3
438;3
439;7
440;3
441;4
442;2
443;4
444;3
445;3
446;3
447;3
448;3
449;3
450;3
451;38
452;3
453;2
454;2
455;2
456;3
457;3
458;3
459;3
460;3
461;3
462;3
463;4
464;3
465;3
466;7
467;17
468;2
469;2
470;2
471;6
472;20
473;3
474;37
475;3
476;3
477;3
478;3
479;3
480;3
481;2
482;2
483;13
484;2
485;2
486;6
487;12
488;2
489;2
490;3
491;37
492;3
493;3
494;3
495;2
496;3
497;3
498;4
499;3
500;3
501;35
502;3
503;2
504;2
505;3
506;3
507;16
508;3
509;2
510;4
511;3
512;0
513;3
514;3
515;3
516;8
517;8
518;2
519;3
520;2
521;2
522;2
523;4
524;17
525;2
526;3
527;3
528;3
529;3
530;3
531;3
532;2
533;3
534;3
535;2
536;4
537;2
538;12
539;3
540;4
541;4
542;3
543;2
544;2
545;2
546;3
547;3
548;2
549;3
550;3
551;3
552;3
553;2
554;2
555;14
556;2
557;2
558;7
559;7
560;6
561;2
562;3
563;3
564;3
565;3
566;38
567;3
568;3
569;3
570;2
571;3
572;3
573;4
574;4
575;4
576;35
577;35
578;3
579;3
580;3
581;7
582;3
583;3
584;3
585;3
586;2
587;7
588;4
589;2
590;2
591;3
592;3
593;3
594;5
595;2
596;4
597;4
598;2
599;2
600;6
601;3
602;3
603;3
604;3
605;2
606;2
607;3
608;3
609;2
610;3
611;59
612;3
613;3
614;3
615;3
616;3
617;3
618;3
619;37
620;2
621;20
622;3
623;5
624;3
625;3
626;2
627;3
628;2
629;2
630;7
631;3
632;18
633;2
634;2
635;2
636;2
637;0
638;38
639;38
640;11
641;3
642;3
643;3
644;3
645;10
646;4
647;3
648;2
649;2
650;3
651;3
652;4
653;2
654;3
655;3
656;21
657;2
658;3
659;3
660;3
661;3
662;10
663;4
664;3
665;3
666;2
667;2
668;4
669;4
670;35
671;35
672;3
673;42
674;2
675;2
676;2
677;3
678;3
679;3
680;3
681;3
682;3
683;35
684;2
685;17
686;2
687;2
688;3
689;13
690;4
691;4
692;2
693;3
694;3
695;3
696;2
697;3
698;4
699;6
700;3
701;3
702;4
703;35
704;2
705;2
706;37
707;2
708;2
709;2
710;2
711;2
712;2
713;3
714;3
715;3
716;3
717;2
718;2
719;16
720;3
721;3
722;4
723;2
724;3
725;3
726;3
727;3
728;3
729;3
730;2
731;2
732;3
733;3
734;3
735;3
736;2
737;2
738;2
739;4
740;3
741;3
742;2
743;3
744;3
745;3
746;3
747;3
748;4
749;3
750;3
751;3
752;4
753;3
754;2
755;3
756;3
757;3
758;7
759;3
760;4
761;2
762;2
763;3
764;3
765;2
766;2
767;2
768;3
769;4
770;2
771;2
772;2
773;3
774;3
775;3
776;3
777;2
778;3
779;24
780;3
781;3
782;3
783;3
784;3
785;4
786;4
787;3
788;2
789;3
790;12
791;3
792;12
793;12
794;3
795;3
796;3
797;6
798;6
799;3
800;3
801;3
802;3
803;3
804;3
805;2
806;23
807;3
808;3
809;3
810;3
811;10
812;3
813;4
814;2
815;2
816;3
817;3
818;38
819;22
820;53
821;3
822;3
823;3
824;3
825;7
826;2
827;3
828;3
829;3
830;2
831;4
832;3
833;3
834;3
835;2
836;3
837;38
838;6
839;3
840;3
841;6
842;2
843;3
844;3
845;3
846;3
847;3
848;3
849;3
850;3
851;2
852;2
853;3
854;3
855;4
856;17
857;17
858;3
859;3
860;3
861;3
862;2
863;3
864;3
865;3
866;3
867;3
868;3
869;3
870;3
871;3
872;2
873;2
874;38
875;38
876;2
877;19
878;8
879;3
880;2
881;2
